ostan,shahrestan,bakhsh,fam,pop,m,f,lat,lon
گيلان,املش,مركزئ,9949,28421,14067,14354,34.9970417,50.289292719649126
گيلان,رضوانشهر,پره سر,8961,28251,14172,14079,37.5551599,48.926999452503814
گيلان,رضوانشهر,مركزئ,13285,41614,20802,20812,34.9970417,50.289292719649126
گيلان,سياهكل,ديلمان,3804,10597,5297,5300,36.845143300000004,49.93510797448531
گيلان,سياهكل,مركزئ,12546,36377,17980,18397,34.9970417,50.289292719649126
گيلان,ماسال,شاندرمن,6955,22007,10938,11069,37.41168185,49.00786100042909
گيلان,ماسال,مركزئ,9946,30642,15318,15324,34.9970417,50.289292719649126
مازندران,آمل,لاريجان,3135,8684,4531,4153,35.93105175,52.12674261146882
مازندران,آمل,مركزئ,98147,296800,148913,147887,34.9970417,50.289292719649126
مازندران,آمل,دابودشت,13303,39476,20229,19247,36.567748699999996,52.4692465487128
مازندران,آمل,امامزاده عبدالله,5637,17791,9080,8711,35.5205843,52.9281289
مازندران,آمل,دشت سر,12812,38888,19749,19139,36.349715700000004,52.43498876991765
مازندران,بابل,بندپي غربي,8911,26233,13243,12990,36.34263045,52.54657751233691
مازندران,بابل,مركزئ,113687,349098,175623,173475,34.9970417,50.289292719649126
مازندران,بابل,بندپي شرقي,11301,35232,17812,17420,36.1241134,52.651542447457466
مازندران,بابل,بابل كنار,8692,25170,12496,12674,#,#
مازندران,بابل,لاله آباد,16262,49142,24939,24203,36.51885285,52.584295633585384
مازندران,بابل,گتاب,15497,47054,23663,23391,36.4113829,52.64053862651704
مازندران,بهشهر,مركزئ,51273,157097,79361,77736,34.9970417,50.289292719649126
مازندران,بهشهر,يانه سر,3867,11672,5958,5714,36.54668435,53.93362552143692
مازندران,تنكابن,مركزئ,33808,99190,49226,49964,34.9970417,50.289292719649126
مازندران,تنكابن,نشتا,8716,25935,13228,12707,36.68834175,51.00184654537725
مازندران,تنكابن,خرم آباد,14111,41006,20758,20248,36.51844895,50.7887320913557
مازندران,رامسر,مركزئ,25312,74179,37220,36959,34.9970417,50.289292719649126
مازندران,سارئ,چهاردانگه,6035,17376,8659,8717,36.22744865,53.64538530209825
مازندران,سارئ,دودانگه,2870,7653,3707,3946,36.10395445,53.246451277581215
مازندران,سارئ,مركزئ,140492,429620,214751,214869,34.9970417,50.289292719649126
مازندران,سارئ,كليجان رستاق,4295,12024,5893,6131,#,#
مازندران,سارئ,رودپي,7341,22126,11378,10748,36.662781249999995,53.051523048416804
مازندران,سارئ,رودپي شمالي,4432,15496,9061,6435,36.79332045,53.083410492432584
مازندران,سوادكوه,مركزئ,7831,22537,11468,11069,34.9970417,50.289292719649126
مازندران,سوادكوه,زيرآب,7125,21376,10729,10647,36.24249185,53.01665943279242
مازندران,قائم شهر,مركزئ,102949,309198,155246,153952,34.9970417,50.289292719649126
مازندران,نور,بلده,2946,7630,3835,3795,36.1655478,51.80124956601688
مازندران,نور,چمستان,14187,44300,22364,21936,36.4036086,52.1245168821719
مازندران,نور,مركزئ,22217,69601,35029,34572,34.9970417,50.289292719649126
مازندران,نوشهر,كجور,7327,20897,10527,10370,#,#
مازندران,نوشهر,مركزئ,38431,118015,59748,58267,34.9970417,50.289292719649126
مازندران,بابلسر,مركزئ,26360,80561,39746,40815,34.9970417,50.289292719649126
مازندران,بابلسر,بهنمير,7930,24001,12147,11854,36.72505565,52.772474364309005
مازندران,بابلسر,رودبست,10192,30629,15550,15079,36.64859285,52.64406048846878
مازندران,محمودآباد,سرخرود,11167,32640,16607,16033,36.66950115,52.399218196390706
مازندران,محمودآباد,مركزئ,21643,65767,33439,32328,34.9970417,50.289292719649126
مازندران,نكا,مركزئ,33896,106106,53430,52676,34.9970417,50.289292719649126
مازندران,نكا,هزارجريب,4282,13405,6664,6741,36.45031455,53.736347922600004
مازندران,چالوس,مركزئ,32362,96224,48253,47971,34.9970417,50.289292719649126
