ostan,shahrestan,bakhsh,fam,pop,m,f,lat,lon
فارس,جهرم,مرکزي,46417,152953,80022,72931,35.9929045,52.94912620817931
فارس,داراب,رستاق,4188,14391,7319,7072,28.517032,55.19976631658737
فارس,داراب,مرکزي,40036,134535,68844,65691,35.9929045,52.94912620817931
فارس,داراب,فورگ,6444,22138,11123,11015,28.2432366,55.14108186117623
فارس,داراب,جنت,8712,29852,14950,14902,28.571342899999998,54.77466873102775
فارس,سپيدان,بيضا,11535,39883,20452,19431,31.6178536,54.1003407
فارس,سپيدان,مرکزي,9379,32945,16737,16208,35.9929045,52.94912620817931
فارس,سپيدان,همايجان,5465,18214,9081,9133,30.054291,52.061412440371434
فارس,شيراز,زرقان,16672,56104,29039,27065,29.7788503,52.7185108
فارس,شيراز,مرکزي,543807,1788411,901201,887210,35.9929045,52.94912620817931
فارس,شيراز,ارژن,6693,23461,11641,11820,29.5434456,52.12513277254608
فارس,فسا,ششده وقره بلاغ,9258,30702,15917,14785,#,#
فارس,فسا,شيبکوه,7980,26919,13692,13227,28.66662365,53.934187994056785
فارس,فسا,مرکزي,40990,137025,69328,67697,35.9929045,52.94912620817931
فارس,فسا,نوبندگان,3231,10361,5215,5146,28.93369775,53.87753393450764
فارس,فيروزآباد,مرکزي,28170,91651,46259,45392,35.9929045,52.94912620817931
فارس,فيروزآباد,ميمند,7671,24885,12465,12420,29.00787835,52.56049862073106
فارس,کازرون,جره وبالاده,9967,35524,18095,17429,29.32607865,51.851178108356436
فارس,کازرون,کنار تخته و کمارج,3302,11273,5653,5620,#,#
فارس,کازرون,کوهمره,4684,16079,8053,8026,29.747063500000003,51.754524017483476
فارس,کازرون,مرکزي,41118,142057,71851,70206,35.9929045,52.94912620817931
فارس,کازرون,چنارشاهيجان,12599,45638,22894,22744,29.8510025,51.5819119
فارس,کازرون,خشت,4446,15275,7801,7474,29.6020466,51.35126728015822
فارس,لارستان,اوز,10940,40731,20585,20146,27.7625325,54.0051497
فارس,لارستان,جويم,6977,25081,13518,11563,28.18096575,53.476966627988574
فارس,لارستان,مرکزي,30003,104146,53517,50629,35.9929045,52.94912620817931
فارس,لارستان,بيرم,4110,13732,6853,6879,27.456228799999998,53.56474443722112
فارس,لارستان,بنارويه,4858,16723,8462,8261,28.043325250000002,53.98320225128659
فارس,لارستان,صحراي باغ,3327,12855,6451,6404,27.484928850000003,54.05057256265086
فارس,مرودشت,کامفيروز,5350,19898,10262,9636,30.27803875,52.20662296698109
فارس,مرودشت,مرکزي,65111,221163,113394,107769,35.9929045,52.94912620817931
فارس,مرودشت,درودزن,10944,37826,19439,18387,30.17179495,52.61172956382097
فارس,مرودشت,سيدان,9754,32850,16871,15979,30.00276245,53.02265707354021
فارس,مرودشت,کر,3446,11396,5935,5461,38.0129678,46.7718772
فارس,ممسني,ماهورميلاني,1542,5297,2658,2639,#,#
فارس,ممسني,مرکزي,29160,98816,49996,48820,35.9929045,52.94912620817931
فارس,ممسني,دشمن زياري,2969,9326,4776,4550,29.9722035,51.913882788090376
فارس,ني ريز,آباده طشک,9966,32224,16335,15889,29.8078337,53.7268534
فارس,ني ريز,پشتکوه,2730,8799,4534,4265,29.3902471,54.419726714974956
فارس,ني ريز,مرکزي,17402,56626,28520,28106,35.9929045,52.94912620817931
فارس,ني ريز,قطرويه,4673,15642,7969,7673,29.165239999999997,54.87750132498033
فارس,لامرد,مرکزي,12575,44066,22028,22038,35.9929045,52.94912620817931
فارس,لامرد,اشکنان,5693,21508,10516,10992,27.214770899999998,53.64201793697586
فارس,لامرد,علامرودشت,5557,19190,9423,9767,27.674147650000002,53.009164791238675
فارس,لامرد,چاه ورز,2011,7010,3491,3519,27.4709003,53.37624610773267
فارس,بوانات,سرچهان,7177,23129,11969,11160,29.985537100000002,53.85469805832501
فارس,بوانات,مرکزي,5210,16698,8580,8118,35.9929045,52.94912620817931
فارس,بوانات,مزايجان,3487,10591,5389,5202,30.37193765,53.80215216356643
فارس,ارسنجان,مرکزي,12876,42719,21698,21021,35.9929045,52.94912620817931
فارس,خرم بيد,مشهدمرغاب,5492,18350,9357,8993,#,#
فارس,خرم بيد,مرکزي,9588,32172,16302,15870,35.9929045,52.94912620817931
فارس,زرين دشت,ايزدخواست,5192,18924,9443,9481,28.1753593,54.535345565345025
فارس,زرين دشت,مرکزي,15074,54027,27544,26483,35.9929045,52.94912620817931
فارس,قيروکارزين,افزر,4375,14924,7366,7558,28.2677257,52.91957450752982
فارس,قيروکارزين,مرکزي,15554,54377,28029,26348,35.9929045,52.94912620817931
فارس,مهر,گله دار,5966,22554,11332,11222,27.61049255,52.659877968375966
فارس,مهر,مرکزي,4277,15386,7708,7678,35.9929045,52.94912620817931
فارس,مهر,وراوي,3414,12884,6665,6219,27.46742785,53.050618303907086
فارس,مهر,اسير,3605,14003,7148,6855,27.84063175,52.555801504926656
فارس,فراشبند,مرکزي,9806,35576,17929,17647,35.9929045,52.94912620817931
فارس,فراشبند,دهرم,2541,8947,4510,4437,28.39106285,52.28490913081949
فارس,پاسارگاد,مرکزي,7078,23955,12262,11693,35.9929045,52.94912620817931
فارس,پاسارگاد,پاسارگاد,1734,6161,3110,3051,30.2341528,53.00684017448295
فارس,خنج,محمله,2630,9625,4758,4867,27.96480535,52.83000321813441
فارس,خنج,مرکزي,8077,31732,15879,15853,35.9929045,52.94912620817931
فارس,سروستان,کوهنجان,3528,11563,6001,5562,29.310107950000003,52.94535466360986
فارس,سروستان,مرکزي,8124,26546,13502,13044,35.9929045,52.94912620817931
فارس,رستم,سورنا,4818,17282,8497,8785,30.439852000000002,51.34812023564203
فارس,رستم,مرکزي,7840,27079,13364,13715,35.9929045,52.94912620817931
فارس,گراش,مرکزي,13136,46878,24033,22845,35.9929045,52.94912620817931
فارس,گراش,ارد,2019,7029,3569,3460,27.7082395,53.75979842730776
فارس,کوار,مرکزي,16930,60714,31265,29449,35.9929045,52.94912620817931
فارس,کوار,طسوج,6080,23159,11973,11186,29.2843862,52.61026806859637
فارس,خرامه,کربال,4339,13754,7101,6653,29.61247835,53.318524910764594
فارس,خرامه,مرکزي,12535,41110,20920,20190,35.9929045,52.94912620817931
كرمان,بافت,مركزئ,21051,67520,33998,33522,34.9970417,50.289292719649126
كرمان,بافت,خبر,5280,16012,8117,7895,28.8699333,56.475540935118715
كرمان,بم,مركزئ,52065,167810,86633,81177,34.9970417,50.289292719649126
كرمان,بم,بروات,18971,59612,30793,28819,28.9857835,58.36547840671756
كرمان,جيرفت,ساردوئيه,12853,39158,20127,19031,29.0561911,57.473526013239805
كرمان,جيرفت,جبالبارز,7009,23137,11824,11313,28.7955621,57.96205834521525
كرمان,جيرفت,مركزئ,60684,203770,104566,99204,34.9970417,50.289292719649126
كرمان,جيرفت,اسماعيلي,12389,42786,21415,21371,28.31036385,57.590409364282635
كرمان,رفسنجان,مركزئ,74962,255377,132609,122768,34.9970417,50.289292719649126
كرمان,رفسنجان,كشكوئيه,6476,22133,11874,10259,#,#
كرمان,رفسنجان,نوق,3885,13955,7525,6430,31.013478499999998,55.56241929056534
كرمان,رفسنجان,فردوس,5897,19020,10323,8697,30.7731984,55.816077230224124
كرمان,زرند,مركزئ,34471,121206,61111,60095,34.9970417,50.289292719649126
كرمان,زرند,يزدان آباد,4980,16927,8571,8356,31.007390100000002,56.086724485162065
كرمان,سيرجان,مركزئ,71694,245203,126542,118661,34.9970417,50.289292719649126
كرمان,سيرجان,پاريز,7323,22538,11435,11103,29.71608785,55.81799751915521
كرمان,سيرجان,گلستان,5045,17061,8960,8101,29.026050050000002,55.71444965988054
كرمان,سيرجان,زيدآباد,7664,27818,14615,13203,29.64219775,55.42307593833496
كرمان,سيرجان,بلورد,3623,11473,5867,5606,29.502089150000003,56.146937130260135
كرمان,شهربابك,مركزئ,25646,85851,44599,41252,34.9970417,50.289292719649126
كرمان,شهربابك,دهج,5837,18124,10061,8063,30.6786102,54.91461536861978
كرمان,كرمان,شهداد,5707,18651,9305,9346,30.589439149999997,58.464842876979425
كرمان,كرمان,گلباف,4439,14473,7177,7296,29.76699605,58.04757124230727
كرمان,كرمان,ماهان,10024,33521,16690,16831,29.969331750000002,57.34734620933528
كرمان,كرمان,مركزئ,188440,625187,318865,306322,34.9970417,50.289292719649126
كرمان,كرمان,راين,4723,15672,7847,7825,29.5781624,57.57765702776525
كرمان,كرمان,چترود,9004,31183,16011,15172,30.58221615,56.84691974729148
كرمان,كهنوج,مركزئ,23207,84603,42846,41757,34.9970417,50.289292719649126
كرمان,كهنوج,چاه مريد,3069,11245,5633,5612,27.94903695,57.48215276838971
كرمان,بردسير,مركزئ,13047,42238,21398,20840,34.9970417,50.289292719649126
كرمان,بردسير,لاله زار,4272,13407,6920,6487,29.550528,56.769505606245076
كرمان,بردسير,گلزار,2561,8271,4213,4058,29.61288675,57.11796291683116
كرمان,بردسير,نگار,5122,17171,8694,8477,29.8623532,56.84062420956542
كرمان,راور,كوهساران,3270,10366,5219,5147,#,#
كرمان,راور,مركزئ,10011,32832,16447,16385,34.9970417,50.289292719649126
كرمان,عنبرآباد,مركزئ,16814,58191,29157,29034,34.9970417,50.289292719649126
كرمان,عنبرآباد,جبالبارزجنوبي,6595,24247,12333,11914,28.35848695,58.24191296167843
كرمان,منوجان,مركزئ,13504,49428,24701,24727,34.9970417,50.289292719649126
كرمان,منوجان,آسمينون,4846,16268,8126,8142,27.5742641,57.43250312419471
كرمان,كوهبنان,طغرل الجرد,1644,5893,2995,2898,#,#
كرمان,كوهبنان,مركزئ,4762,15287,7744,7543,34.9970417,50.289292719649126
كرمان,رودبارجنوب,جازموريان,11081,43867,22181,21686,27.853707800000002,58.5771446773643
كرمان,رودبارجنوب,مركزئ,16347,62125,31033,31092,34.9970417,50.289292719649126
كرمان,قلعه گنج,چاه دادخدا,6519,25540,12654,12886,27.07283795,58.41865263703923
كرمان,قلعه گنج,مركزئ,14002,50955,25335,25620,34.9970417,50.289292719649126
كرمان,ريگان,گنبكي,7514,25976,13313,12663,#,#
كرمان,ريگان,مركزئ,16468,62433,31804,30629,34.9970417,50.289292719649126
كرمان,رابر,مركزي,7496,23540,11850,11690,34.9970417,50.289292719649126
كرمان,رابر,هنزا,3982,11706,5851,5855,29.171904599999998,57.02795645759904
كرمان,فهرج,مركزي,10451,39820,20641,19179,34.9970417,50.289292719649126
كرمان,فهرج,نگين كوير,6643,26922,13923,12999,#,#
كرمان,انار,انار,10918,36897,19177,17720,30.815420099999997,55.317671290089066
كرمان,نرماشير,مركزي,11905,40090,20357,19733,34.9970417,50.289292719649126
كرمان,نرماشير,روداب,4277,14138,7278,6860,28.96328855,58.55248832556223
كرمان,فارياب,مركزي,4944,16952,8387,8565,34.9970417,50.289292719649126
كرمان,فارياب,حور,4873,17048,8639,8409,28.32383825,57.186501416611925
كرمان,ارزوئيه,مرکزي,8570,29336,14866,14470,35.9929045,52.94912620817931
كرمان,ارزوئيه,صوغان,2572,9174,4636,4538,28.3991571,56.762651986602144
خراسان رضوئ,تايباد,مركزئ,24159,92205,47071,45134,34.9970417,50.289292719649126
خراسان رضوئ,تايباد,ميان ولايت,6558,25357,12935,12422,34.80544865,60.519225886832956
خراسان رضوئ,تربت حيدريه,بايك,2424,6937,3380,3557,#,#
خراسان رضوئ,تربت حيدريه,كدكن,3932,12805,6438,6367,#,#
خراسان رضوئ,تربت حيدريه,مركزئ,54733,179084,92166,86918,34.9970417,50.289292719649126
خراسان رضوئ,تربت حيدريه,جلگه رخ,7822,25748,12957,12791,35.654994650000006,59.29084124398661
خراسان رضوئ,تربت جام,صالح آباد,11485,43426,21846,21580,35.03092384999999,48.27932809798792
خراسان رضوئ,تربت جام,مركزئ,38271,143252,72656,70596,34.9970417,50.289292719649126
خراسان رضوئ,تربت جام,نصرآباد,11297,40440,20431,20009,35.47983945,60.26600668031436
خراسان رضوئ,تربت جام,بوژگان,5522,20976,10658,10318,35.068039999999996,60.96094279049671
خراسان رضوئ,تربت جام,پائين جام,5227,19577,9886,9691,35.250683,60.903611772856564
خراسان رضوئ,درگز,چاپشلو,3511,11360,5794,5566,37.2253829,58.980780262978186
خراسان رضوئ,درگز,لطف آباد,2958,9432,4709,4723,37.27024625,59.317331228187015
خراسان رضوئ,درگز,مركزئ,13105,41808,21156,20652,34.9970417,50.289292719649126
خراسان رضوئ,درگز,نوخندان,3204,9755,4846,4909,37.5597474,58.81233875010226
خراسان رضوئ,سبزوار,روداب,4654,13406,6737,6669,28.96328855,58.55248832556223
خراسان رضوئ,سبزوار,ششتمد,7786,24261,12373,11888,35.811409999999995,57.947172134225845
خراسان رضوئ,سبزوار,مركزئ,83112,268642,134076,134566,34.9970417,50.289292719649126
خراسان رضوئ,قوچان,باجگيران,2589,7625,3905,3720,37.42290495,58.504151862524544
خراسان رضوئ,قوچان,مركزئ,50260,166868,84749,82119,34.9970417,50.289292719649126
خراسان رضوئ,كاشمر,كوهسرخ,8004,25014,12520,12494,#,#
خراسان رضوئ,كاشمر,مركزئ,44774,143650,72484,71166,34.9970417,50.289292719649126
خراسان رضوئ,گناباد,مركزئ,22977,76427,38601,37826,34.9970417,50.289292719649126
خراسان رضوئ,گناباد,كاخك,4630,12326,6046,6280,#,#
خراسان رضوئ,مشهد,احمدآباد,10191,32988,16765,16223,35.9717705,59.38783698367064
خراسان رضوئ,مشهد,مركزئ,994022,3280368,1646678,1633690,34.9970417,50.289292719649126
خراسان رضوئ,مشهد,رضويه,16796,59232,30101,29131,36.10525425,60.01488818728696
خراسان رضوئ,نيشابور,زبرخان,18312,56635,28648,27987,36.155782450000004,59.10786950464434
خراسان رضوئ,نيشابور,سرولايت,4932,14664,7139,7525,36.722733399999996,58.42344937320226
خراسان رضوئ,نيشابور,مركزئ,107345,341182,171569,169613,34.9970417,50.289292719649126
خراسان رضوئ,نيشابور,ميان جلگه,11950,39288,19768,19520,35.86248635,58.71408673548367
خراسان رضوئ,چناران,گلبهار,20164,66321,34094,32227,36.5725497,59.1966264
خراسان رضوئ,چناران,مركزئ,24914,88581,46797,41784,34.9970417,50.289292719649126
خراسان رضوئ,خواف,سنگان,6664,26564,13437,13127,34.25618405,60.33851962469268
خراسان رضوئ,خواف,مركزئ,14062,52899,26740,26159,34.9970417,50.289292719649126
خراسان رضوئ,خواف,جلگه زوزن,5854,22062,11105,10957,34.42239685,59.742688421150945
خراسان رضوئ,خواف,سلامي,9819,37447,19046,18401,34.809256500000004,59.96424474015912
خراسان رضوئ,سرخس,مرزداران,4766,16808,8747,8061,36.190879800000005,60.52915025406432
خراسان رضوئ,سرخس,مركزئ,22165,80710,41066,39644,34.9970417,50.289292719649126
خراسان رضوئ,فريمان,قلندرآباد,7119,25361,12906,12455,35.64756615,60.05863887894354
خراسان رضوئ,فريمان,مركزئ,21522,73640,37138,36502,34.9970417,50.289292719649126
خراسان رضوئ,بردسكن,انابد,5667,18561,9387,9174,35.13384605,57.308033066754106
خراسان رضوئ,بردسكن,مركزئ,12273,38605,19491,19114,34.9970417,50.289292719649126
خراسان رضوئ,بردسكن,شهرآباد,5792,18465,9454,9011,35.03372975,57.77723540874925
خراسان رضوئ,رشتخوار,جنگل,3855,14342,7211,7131,34.792541150000005,59.29551990029596
خراسان رضوئ,رشتخوار,مركزئ,13711,46347,23606,22741,34.9970417,50.289292719649126
خراسان رضوئ,كلات,زاوين,4215,14417,7356,7061,36.66949995,60.118555827913774
خراسان رضوئ,كلات,مركزئ,6493,21820,11049,10771,34.9970417,50.289292719649126
خراسان رضوئ,خليل آباد,ششطراز,6475,19915,10145,9770,35.1566338,58.180858882619276
خراسان رضوئ,خليل آباد,مركزئ,10209,31786,16106,15680,34.9970417,50.289292719649126
خراسان رضوئ,مه ولات,شادمهر,5003,15753,7980,7773,35.13038545,58.90220104619365
خراسان رضوئ,مه ولات,مركزئ,10841,35656,18047,17609,34.9970417,50.289292719649126
خراسان رضوئ,بجستان,مركزي,6442,19833,9939,9894,34.9970417,50.289292719649126
خراسان رضوئ,بجستان,يونسي,3569,11374,5744,5630,34.7749466,58.2267317831593
خراسان رضوئ,بينالود,طرقبه,10805,33344,17204,16140,36.24966815,59.36937482363216
خراسان رضوئ,بينالود,شانديز,11054,36294,18774,17520,36.37358235,59.199212085180164
خراسان رضوئ,فيروزه,مركزي,6481,20787,10550,10237,34.9970417,50.289292719649126
خراسان رضوئ,فيروزه,طاغنكوه,5302,16752,8514,8238,#,#
خراسان رضوئ,جغتاي,مركزي,7544,25248,12740,12508,34.9970417,50.289292719649126
خراسان رضوئ,جغتاي,هلالي,7379,23927,12341,11586,36.776960599999995,56.95641024373485
خراسان رضوئ,زاوه,مركزي,11649,38384,19348,19036,34.9970417,50.289292719649126
خراسان رضوئ,زاوه,سليمان,8412,29307,14832,14475,35.23385075,59.85852619552537
خراسان رضوئ,جوين,مركزي,11894,38425,19496,18929,34.9970417,50.289292719649126
خراسان رضوئ,جوين,عطاملك,4786,15865,8031,7834,#,#
خراسان رضوئ,باخرز,مركزي,10197,35954,18246,17708,34.9970417,50.289292719649126
خراسان رضوئ,باخرز,بالا ولايت,5328,18661,9334,9327,36.6003643,55.0955168
خراسان رضوئ,خوشاب,مركزي,8684,27169,13771,13398,34.9970417,50.289292719649126
خراسان رضوئ,خوشاب,مشكان,3199,10012,4980,5032,#,#
خراسان رضوئ,داورزن,مرکزي,4226,11947,5984,5963,35.9929045,52.94912620817931
خراسان رضوئ,داورزن,باشتين,3452,9964,5088,4876,36.2613426,57.247664052137914
اصفهان,اردستان,مرکزي,9960,29427,14822,14605,35.9929045,52.94912620817931
اصفهان,اردستان,زواره,4180,12678,6459,6219,33.758884,52.727998207259446
اصفهان,اصفهان,جرقويه سفلي,7079,22891,11711,11180,32.13655795,52.157078683855026
اصفهان,اصفهان,کوهپايه,7858,23676,12056,11620,32.7303728,52.35606124797216
اصفهان,اصفهان,مرکزي,671864,2130970,1075740,1055230,35.9929045,52.94912620817931
اصفهان,اصفهان,جرقويه عليا,4955,14716,7447,7269,31.886135449999998,52.65998107889867
اصفهان,اصفهان,بن رود,9225,29718,15429,14289,32.46087105,52.70364835118689
اصفهان,اصفهان,جلگه,6871,21257,11048,10209,32.4260125,52.32582490369457
اصفهان,خميني شهر,مرکزي,98269,319727,164787,154940,35.9929045,52.94912620817931
اصفهان,خوانسار,مرکزي,10923,33049,16446,16603,35.9929045,52.94912620817931
اصفهان,سميرم,پادنا,4239,13696,7025,6671,31.15070205,51.45513356514461
اصفهان,سميرم,مرکزي,11444,37274,18962,18312,35.9929045,52.94912620817931
اصفهان,سميرم,دناکوه,3759,12855,6711,6144,30.852920949999998,51.697721442434165
اصفهان,سميرم,وردشت,2980,9941,5029,4912,31.62524625,51.520116320145775
اصفهان,فريدن,مرکزي,11938,38538,19873,18665,35.9929045,52.94912620817931
اصفهان,فريدن,زنده رود,3593,11270,5768,5502,33.02004995,50.303031285472855
اصفهان,فريدونشهر,مرکزي,10688,35654,18171,17483,35.9929045,52.94912620817931
اصفهان,فلاورجان,پيربکران,16795,52574,27111,25463,32.48222595,51.595142441367855
اصفهان,فلاورجان,مرکزي,45656,149127,76626,72501,35.9929045,52.94912620817931
اصفهان,فلاورجان,قهدريجان,14762,48113,25048,23065,32.5585323,51.45497937305902
اصفهان,شهرضا,مرکزي,50982,159792,81637,78155,35.9929045,52.94912620817931
اصفهان,کاشان,قمصر,4653,13247,6744,6503,33.686260000000004,51.4158539857558
اصفهان,کاشان,مرکزي,98513,324501,164537,159964,35.9929045,52.94912620817931
اصفهان,کاشان,نياسر,4098,11821,5931,5890,34.071882450000004,51.09947225840729
اصفهان,کاشان,برزک,4991,14910,7591,7319,33.77034385,51.16827069992719
اصفهان,گلپايگان,مرکزي,30415,90082,45909,44173,35.9929045,52.94912620817931
اصفهان,لنجان,باغ بهادران,14266,46662,23961,22701,32.37525515,51.096320143600224
اصفهان,لنجان,مرکزي,66834,216249,109595,106654,35.9929045,52.94912620817931
اصفهان,نايين,انارک,1329,3820,1906,1914,33.48760595,53.79419210604254
اصفهان,نايين,مرکزي,12048,35440,17711,17729,35.9929045,52.94912620817931
اصفهان,نجف آباد,مرکزي,90158,293275,148441,144834,35.9929045,52.94912620817931
اصفهان,نجف آباد,مهردشت,8353,25928,13348,12580,33.0813037,50.93575343501897
اصفهان,نطنز,مرکزي,7185,20232,10217,10015,35.9929045,52.94912620817931
اصفهان,نطنز,امام زاده,7774,23745,12105,11640,35.6021888,49.3498327
اصفهان,شاهين شهروميمه,ميمه,7641,23057,11665,11392,33.45407515,51.00009074099481
اصفهان,شاهين شهروميمه,مرکزي,66338,211606,105799,105807,35.9929045,52.94912620817931
اصفهان,مبارکه,مرکزي,37707,120732,61784,58948,35.9929045,52.94912620817931
اصفهان,مبارکه,گرکن جنوبي,9229,29709,15245,14464,32.39711795,51.69181417227081
اصفهان,آران وبيدگل,کويرات,4455,14289,7461,6828,34.1135517,52.02915545838721
اصفهان,آران وبيدگل,مرکزي,27595,89228,45183,44045,35.9929045,52.94912620817931
اصفهان,تيران وکرون,کرون,10147,32684,16802,15882,32.889909200000005,50.869027294297624
اصفهان,تيران وکرون,مرکزي,12556,38889,19897,18992,35.9929045,52.94912620817931
اصفهان,چادگان,چنارود,1548,5479,2854,2625,32.6603155,50.37128282943313
اصفهان,چادگان,مرکزي,8285,27000,13700,13300,35.9929045,52.94912620817931
اصفهان,دهاقان,مرکزي,11118,34511,17571,16940,35.9929045,52.94912620817931
اصفهان,برخوار,حبيب آباد,7765,24741,12758,11983,33.0103862,51.86629460393576
اصفهان,برخوار,مرکزي,29858,97678,50351,47327,35.9929045,52.94912620817931
اصفهان,خور و بيابانک,مرکزي,6420,19761,9977,9784,35.9929045,52.94912620817931
اصفهان,بو يين و مياندشت,مرکزي,6593,20000,10120,9880,35.9929045,52.94912620817931
اصفهان,بو يين و مياندشت,کرچمبو,1433,4163,2171,1992,33.230883250000005,50.09014915715714
سيستان و بلوچستان,ايرانشهر,بزمان,3089,11827,5701,6126,28.0270223,60.01609091818274
سيستان و بلوچستان,ايرانشهر,بمپور,15369,60557,29833,30724,27.167688050000002,60.24265579966929
سيستان و بلوچستان,ايرانشهر,مركزئ,44166,181928,92157,89771,34.9970417,50.289292719649126
سيستان و بلوچستان,چابهار,دشتيارئ,18079,79911,41266,38645,25.401005050000002,61.31299158450638
سيستان و بلوچستان,چابهار,مركزئ,41243,170272,86748,83524,34.9970417,50.289292719649126
سيستان و بلوچستان,چابهار,پلان,8812,33004,16454,16550,25.6143297,61.150661116891825
سيستان و بلوچستان,خاش,مركزئ,30769,115085,58307,56778,34.9970417,50.289292719649126
سيستان و بلوچستان,خاش,نوك آباد,12601,44176,21857,22319,#,#
سيستان و بلوچستان,خاش,ايرندگان,4523,13323,6421,6902,27.714230200000003,61.04338927888678
سيستان و بلوچستان,زابل,مركزئ,43691,165634,82980,82654,34.9970417,50.289292719649126
سيستان و بلوچستان,زاهدان,مركزئ,156995,628219,320232,307987,34.9970417,50.289292719649126
سيستان و بلوچستان,زاهدان,نصرت آباد,4782,18462,9249,9213,29.9396028,59.9183007630255
سيستان و بلوچستان,زاهدان,كورين,6694,25898,13034,12864,#,#
سيستان و بلوچستان,سراوان,جالق,9685,36351,18104,18247,27.7119131,62.463401217538475
سيستان و بلوچستان,سراوان,مركزئ,30710,117002,59321,57681,34.9970417,50.289292719649126
سيستان و بلوچستان,سراوان,بم پشت,9895,37906,18887,19019,26.909875,62.87116719874461
سيستان و بلوچستان,نيك شهر,بنت,7947,28722,14329,14393,26.2408747,59.263235771896234
سيستان و بلوچستان,نيك شهر,لاشار,9123,33973,17016,16957,26.74714335,60.21332533687858
سيستان و بلوچستان,نيك شهر,مركزئ,16742,66716,33428,33288,34.9970417,50.289292719649126
سيستان و بلوچستان,نيك شهر,آهوران,3385,12453,6185,6268,26.7334605,60.637107305428906
سيستان و بلوچستان,سرباز,پيشين,6941,30232,15311,14921,26.0396385,61.72351803038852
سيستان و بلوچستان,سرباز,سرباز,22634,91274,44989,46285,26.655676550000003,61.18502296397337
سيستان و بلوچستان,سرباز,مركزئ,7368,29925,15130,14795,34.9970417,50.289292719649126
سيستان و بلوچستان,سرباز,پارود,8963,34730,17460,17270,26.418242,61.722247553039196
سيستان و بلوچستان,كنارك,زرآباد,5063,20197,10484,9713,25.59988885,59.41162169254342
سيستان و بلوچستان,كنارك,مركزئ,18537,78015,42284,35731,34.9970417,50.289292719649126
سيستان و بلوچستان,زهك,جزينك,6069,21704,10795,10909,#,#
سيستان و بلوچستان,زهك,مركزئ,13986,53192,26968,26224,34.9970417,50.289292719649126
سيستان و بلوچستان,هيرمند,مركزي,13067,50787,25708,25079,34.9970417,50.289292719649126
سيستان و بلوچستان,هيرمند,قرقري,3492,13192,6651,6541,31.295925349999997,61.62889439213674
سيستان و بلوچستان,دلگان,مركزي,10468,42362,20862,21500,34.9970417,50.289292719649126
سيستان و بلوچستان,دلگان,جلگه چاه هاشم,6083,25495,12713,12782,27.147716850000002,59.36248389839622
سيستان و بلوچستان,مهرستان,مركزي,13478,54630,27218,27412,34.9970417,50.289292719649126
سيستان و بلوچستان,مهرستان,آشار,3929,15949,7813,8136,26.66962325,61.967278611734564
سيستان و بلوچستان,سيب و سوران,مركزي,15791,62876,31151,31725,34.9970417,50.289292719649126
سيستان و بلوچستان,سيب و سوران,هيدوچ,5873,22216,11042,11174,27.0005081,62.116917
سيستان و بلوچستان,نيمروز,مرکزي,7105,26001,13059,12942,35.9929045,52.94912620817931
سيستان و بلوچستان,نيمروز,صابري,5566,22324,11402,10922,35.7722435,51.3918196
سيستان و بلوچستان,هامون,مرکزي,9397,34570,17345,17225,35.9929045,52.94912620817931
سيستان و بلوچستان,هامون,تيمورآباد,1943,6290,3041,3249,30.89916125,61.26338865253213
سيستان و بلوچستان,ميرجاوه,مرکزي,3062,13195,6655,6540,35.9929045,52.94912620817931
سيستان و بلوچستان,ميرجاوه,لاديز,6471,22960,11534,11426,28.88801135,61.07314185004209
سيستان و بلوچستان,ميرجاوه,ريگ ملک,2320,9202,4789,4413,28.634113499999998,61.69998961409241
سيستان و بلوچستان,قصرقند,مرکزي,6282,25690,12665,13025,35.9929045,52.94912620817931
سيستان و بلوچستان,قصرقند,ساربوک,4114,17018,8358,8660,26.10684105,60.538278208817346
سيستان و بلوچستان,قصرقند,تلنگ,5128,18368,9302,9066,25.91151635,61.03749309110691
سيستان و بلوچستان,فنوج,مرکزي,9175,35977,18064,17913,35.9929045,52.94912620817931
سيستان و بلوچستان,فنوج,کتيج,3429,13184,6479,6705,26.712831,59.19403210730425
كردستان,بانه,آرمرده,2501,9359,4861,4498,35.905816,45.7868584380541
كردستان,بانه,مركزئ,33921,122439,61941,60498,34.9970417,50.289292719649126
كردستان,بانه,نمشير,4832,17423,8921,8502,36.1319,45.7358
كردستان,بانه,ننور,2518,9469,4899,4570,35.910545799999994,46.02147457334409
كردستان,بيجار,چنگ الماس,3248,10737,5309,5428,35.67469355,47.80535284971985
كردستان,بيجار,كراني,3800,12537,6367,6170,#,#
كردستان,بيجار,مركزئ,20711,65888,33156,32732,34.9970417,50.289292719649126
كردستان,سقز,زيويه,3605,13469,6769,6700,36.277942800000005,46.629947413714724
كردستان,سقز,مركزئ,55278,191561,96311,95250,34.9970417,50.289292719649126
كردستان,سقز,سرشيو,2143,8475,4313,4162,36.00242155,46.276492059234926
كردستان,سقز,امام,3358,12946,6532,6414,36.052272200000004,46.57899734474235
كردستان,سنندج,مركزئ,140667,461278,232792,228486,34.9970417,50.289292719649126
كردستان,سنندج,كلاترزان,5788,19371,9896,9475,#,#
كردستان,سنندج,حسين آباد,2748,9743,5053,4690,35.575507,47.09866442574051
كردستان,سنندج,سيروان,3327,11008,5604,5404,35.1481567,46.82393321820231
