ostan,shahrestan,bakhsh,shahr,district,fam,pop,m,f,lat,lon
اردبيل,اردبيل,مرکزئ,اردبيل,2,39421,130320,67282,63038,38.23618274400388,48.30440042681576
اردبيل,اردبيل,مرکزئ,اردبيل,3,54222,182070,92497,89573,38.23278982462165,48.2612136403102
اردبيل,اردبيل,مرکزئ,اردبيل,4,37058,123633,62810,60823,38.2714808953418,48.27572288264061
قم,قم,مرکزي,قم,1,60716,192060,97496,94564,34.65346735484495,50.89652739790978
قم,قم,مرکزي,قم,2,54185,189708,97382,92326,34.65664172781753,50.8598512285913
قم,قم,مرکزي,قم,3,52494,171363,86918,84445,34.66969663269301,50.882955797910064
قم,قم,مرکزي,قم,4,57392,192755,96495,96260,34.62984416446519,50.861774680147434
قم,قم,مرکزي,قم,5,21946,78401,40470,37931,34.61445224603176,50.915861424897905
قم,قم,مرکزي,قم,6,61578,213356,108698,104658,34.656774655196244,50.8600211402395
قم,قم,مرکزي,قم,7,12743,41625,21733,19892,34.65343015484099,50.89256305558008
قم,قم,مرکزي,قم,8,35922,121890,60349,61541,34.54385323144289,50.8181317690725
قزوين,قزوين,مرکزئ,قزوين,1,32727,104549,54570,49979,36.26208378455338,50.00338184862528
قزوين,قزوين,مرکزئ,قزوين,2,25808,78950,38880,40070,36.2857791706418,50.01113878161833
قزوين,قزوين,مرکزئ,قزوين,3,31374,97936,48935,49001,36.31210478655215,50.013558085047485
قزوين,قزوين,مرکزئ,قزوين,4,37245,121313,61317,59996,36.23713384432429,49.931470685147424
گلستان,گرگان,مرکزئ,گرگان,1,33272,101950,50112,51838,36.83285336415874,54.45388464130398
گلستان,گرگان,مرکزئ,گرگان,2,33962,108358,54978,53380,36.833185492754254,54.43003469795203
گلستان,گرگان,مرکزئ,گرگان,3,43865,140368,69707,70661,36.85203879710305,54.42600024467402
خراسان شمالي,بجنورد,مرکزئ,بجنورد,1,35530,119997,59577,60420,37.48232255929284,57.33463167097622
خراسان شمالي,بجنورد,مرکزئ,بجنورد,2,31805,108934,54864,54070,37.461991399390364,57.31691298447033
خراسان جنوبي,بيرجند,مرکزئ,بيرجند,1,24823,88270,45124,43146,32.87903265126135,59.217169351390616
خراسان جنوبي,بيرجند,مرکزئ,بيرجند,2,32922,115366,57275,58091,32.86145135682745,59.22245379787706
البرز,کرج,مرکزي,کرج,1,42052,132269,65540,66729,35.83049286841185,51.01396310263001
البرز,کرج,مرکزي,کرج,2,36600,113729,57193,56536,35.80711137621027,50.98857816909651
البرز,کرج,مرکزي,کرج,4,40432,124175,62445,61730,35.81177059712719,50.913010615550895
البرز,کرج,مرکزي,کرج,5,68578,211627,105240,106387,35.828317072767575,50.93405514929478
البرز,کرج,مرکزي,کرج,6,75127,235718,117585,118133,35.83901085098482,50.94124602894988
البرز,کرج,مرکزي,کرج,7,50143,168034,89691,78343,35.85962405187235,50.97424494925794
البرز,کرج,مرکزي,کرج,8,41774,127866,62935,64931,35.84153781583727,50.9922248492396
البرز,کرج,مرکزي,کرج,9,31412,95189,46901,48288,35.8157725591487,50.975958113415466
البرز,کرج,مرکزي,کرج,10,67632,214076,108966,105110,35.75841786740488,51.000587283535395
البرز,کرج,مرکزي,کرج,11,22564,72128,37054,35074,35.799632931139655,51.01701862110215
البرز,کرج,مرکزي,کرج,12,32106,97681,48848,48833,35.79309520395206,50.87236389122102
ايلام,ايلام,مرکزئ,ايلام,1,53581,194030,98276,95754,33.6379365,46.4202743
چهارمحال و بختيارئ,شهرکرد,مرکزئ,شهرکرد,1,55492,190441,94789,95652,32.3257366,50.8497369
سمنان,سمنان,مرکزئ,سمنان,1,49124,185129,94411,90718,35.10579765,53.83056019433018
کهگيلويه و بويراحمد,بويراحمد,مرکزئ,ياسوج,1,34850,134532,68427,66105,30.6681785,51.581916
