ostan,shahrestan,bakhsh,shahr,fam,pop,m,f,lat,lon
گيلان,رودبار,مرکزئ,رستم آباد,4312,13746,7012,6734,36.897394,49.4915717
گيلان,رودبار,خورگام,خورگام,1914,5223,2581,2642,36.820154900000006,49.76770408107086
گيلان,رودبار,خورگام,دلفک,875,2449,1221,1228,36.76129825,49.63803619275811
گيلان,رودبار,خورگام,بره سر,559,1612,795,817,36.7738197,49.7547696
گيلان,رودسر,رحيم آباد,اشکور سفلي,1801,5012,2530,2482,36.86292465,50.21872562614978
گيلان,رودسر,رحيم آباد,اشکور عليا و سيارستاق ييلاقي,1058,2864,1465,1399,#,#
گيلان,رودسر,رحيم آباد,رحيم آباد,2585,8062,4050,4012,37.0314749,50.326393
گيلان,رودسر,رحيم آباد,شوئيل,1353,3657,1851,1806,36.7930427,50.2263995
گيلان,رودسر,رحيم آباد,رحيم آباد,3507,10571,5262,5309,37.0314749,50.326393
گيلان,رودسر,مرکزئ,چيني جان,3331,9246,4690,4556,37.1499762,50.2561255
گيلان,رودسر,مرکزئ,رضامحله,4250,11348,5655,5693,37.0542923,50.4345895
گيلان,رودسر,مرکزئ,رودسر,13191,37998,18947,19051,37.1381592,50.2927862
گيلان,رودسر,چابکسر,اوشيان,3970,11539,5843,5696,36.9935642,50.5135059
گيلان,رودسر,چابکسر,سياهکلرود,1942,5241,2594,2647,36.990843600000005,50.42527200368612
گيلان,رودسر,چابکسر,چابکسر,2750,8224,4140,4084,36.9743391,50.57079
گيلان,رودسر,کلاچای,بي بالان,3352,9657,4839,4818,37.0511398,50.3888397
گيلان,رودسر,کلاچای,ماچيان,2603,7063,3514,3549,37.0359173,50.3122982
گيلان,رودسر,کلاچای,کلاچای,4329,12379,6131,6248,37.0769158,50.3971953
گيلان,رودسر,کلاچای,واجارگاه,1563,4537,2199,2338,37.03829,50.4058965
گيلان,صومعه سرا,تولم,تولم,2789,8043,3990,4053,37.33103305,49.43338893254916
گيلان,صومعه سرا,تولم,هندوخاله,3736,11013,5616,5397,#,#
گيلان,صومعه سرا,تولم,مرجقل,2244,6735,3374,3361,37.2761076,49.37639
گيلان,صومعه سرا,مرکزئ,ضيابر,3374,9866,4854,5012,37.42613,49.2429522
گيلان,صومعه سرا,مرکزئ,طاهرگوراب,3179,8997,4462,4535,37.382298,49.2285025
گيلان,صومعه سرا,مرکزئ,کسما,4308,12198,6045,6153,37.3280459,49.3016669
گيلان,صومعه سرا,مرکزئ,صومعه سرا,15331,47083,23567,23516,37.301672,49.3147378
گيلان,صومعه سرا,میرزا کوچک جنگلی,گوراب زرميخ,4159,12774,6249,6525,37.3021335,49.2208733
گيلان,صومعه سرا,میرزا کوچک جنگلی,مرکيه,1245,3525,1721,1804,37.3027507,49.2535494
گيلان,صومعه سرا,میرزا کوچک جنگلی,گوراب زرميخ,1610,4840,2439,2401,37.3021335,49.2208733
گيلان,فومن,مرکزئ,رودپيش,4236,12136,6027,6109,37.2339479,49.3872389
گيلان,فومن,مرکزئ,گشت,4873,14514,7410,7104,37.187787900000004,49.30122451583975
گيلان,فومن,مرکزئ,گوراب پس,3090,9007,4504,4503,37.1519494,49.3121224
گيلان,فومن,مرکزئ,لولمان,2990,8622,4279,4343,37.2564928,49.2717653
گيلان,فومن,مرکزئ,فومن,11849,35841,17870,17971,37.2273234,49.3141954
گيلان,فومن,سردارجنگل,آليان,1168,3379,1659,1720,37.2840393,49.03038844438758
گيلان,فومن,سردارجنگل,سردارجنگل,2318,6781,3373,3408,37.2166767,49.060923919029065
گيلان,فومن,سردارجنگل,ماسوله,147,393,191,202,37.1551276,48.9899692
گيلان,فومن,سردارجنگل,ماکلوان,536,1635,814,821,37.1957815,49.1969213
گيلان,لنگرود,مرکزئ,چاف,904,2395,1206,1189,37.260198,50.283437379167296
گيلان,لنگرود,مرکزئ,ديوشل,3604,10261,5147,5114,37.1836392,50.1156938
گيلان,لنگرود,مرکزئ,گل سفيد,954,2341,1118,1223,37.1783778,50.242089
گيلان,لنگرود,مرکزئ,لنگرود,27318,79445,39823,39622,37.19230095,50.15583816038672
گيلان,لنگرود,مرکزئ,چاف و چمخاله,3137,8840,4501,4339,37.2297183,50.2531785
گيلان,لنگرود,اطاقور,اطاقور,2461,6797,3483,3314,37.0437591,50.02808295134477
گيلان,لنگرود,اطاقور,لات ليل,1454,4039,2035,2004,37.0704518,50.1309596
گيلان,لنگرود,اطاقور,اطاقور,662,1938,968,970,37.0437591,50.02808295134477
گيلان,لنگرود,کومله,درياسر,3133,8638,4331,4307,37.1808635,50.1796011
گيلان,لنگرود,کومله,مريدان,1614,4433,2233,2200,37.1206618,50.1614115
گيلان,لنگرود,کومله,کومله,2255,6457,3245,3212,37.1523678,50.1740681
گيلان,لنگرود,کومله,شلمان,1855,5102,2585,2517,37.1559178,50.2161864
گيلان,لاهيجان,مرکزئ,آهندان,3036,9459,5160,4299,37.1750264,49.9851112
گيلان,لاهيجان,مرکزئ,بازکياگوراب,4160,11603,5805,5798,37.2194182,49.9612079
گيلان,لاهيجان,مرکزئ,لفمجان,1877,4721,2357,2364,37.1930947,49.875729
گيلان,لاهيجان,مرکزئ,ليالستان,3389,9359,4760,4599,37.2039929,50.0704343
گيلان,لاهيجان,مرکزئ,ليل,2770,8077,4133,3944,37.145149599999996,50.05338006652386
گيلان,لاهيجان,مرکزئ,لاهيجان,34497,101073,50123,50950,37.984405,46.0842647
گيلان,لاهيجان,رودبنه,رودبنه,2533,6858,3495,3363,37.257511050000005,50.007586250919545
گيلان,لاهيجان,رودبنه,شيرجوپشت,4896,12953,6597,6356,37.3550814,50.242961443421336
گيلان,لاهيجان,رودبنه,رودبنه,1220,3441,1765,1676,37.257511050000005,50.007586250919545
گيلان,شفت,احمدسرگوراب,احمدسرگوراب,3197,9642,4808,4834,37.135167550000006,49.37290005139745
گيلان,شفت,احمدسرگوراب,چوبر,3548,10053,5082,4971,37.0926728,49.4140997
گيلان,شفت,احمدسرگوراب,احمدسرگوراب,727,2128,1082,1046,37.135167550000006,49.37290005139745
